Year,Adj 1,Adj 2,Adj 3,Adj 4,Adj 5,Adj 6,Merged_Column
1970,young,,,,,,young
1970,unrecognizable,,,,,,unrecognizable
1970,sister,,,,,,sister
1970,real,,,,,,real
1970,young,,,,,,young
1970,noble,,,,,,noble
1970,adopted,,,,,,adopted
1970,poor,,,,,,poor
1970,rich,,,,,,rich
1970,attractive, young,,,,,"attractive, young"
1970,young, innocent,,,,,"young, innocent"
1970,widowed,,,,,,widowed
1970,beautiful,,,,,,beautiful
1971,young,,,,,,young
1971,young,,,,,,young
1971,sister,,,,,,sister
1971,blind,,,,,,blind
1971,young,,,,,,young
1971,young,,,,,,young
1971,mysterious,,,,,,mysterious
1971,young,,,,,,young
1971,deceased,,,,,,deceased
1971,leading,,,,,,leading
1973,young,,,,,,young
1973,disastrous,,,,,,disastrous
1973,beautiful,,,,,,beautiful
1973,rich,,,,,,rich
1973,beautiful,,,,,,beautiful
1973,followers,,,,,,followers
1973,violent,,,,,,violent
1973,beautiful, young, married,,,,"beautiful, young, married"
1973,innocent,,,,,,innocent
1973,widowed,,,,,,widowed
1973,aged,,,,,,aged
1973,marrying,,,,,,marrying
1973,young,,,,,,young
1973,younger,,,,,,younger
1973,young,,,,,,young
1973,rich, spoiled,,,,,"rich, spoiled"
1973,young,,,,,,young
1974,blind, young,,,,,"blind, young"
1974,young,,,,,,young
1974,young,,,,,,young
1974,patriotic, unaware,,,,,"patriotic, unaware"
1974,dumb,,,,,,dumb
1974,wealthy,,,,,,wealthy
1974,ailing,,,,,,ailing
1974,beautiful, young,,,,,"beautiful, young"
1974,rich,,,,,,rich
1974,niece,,,,,,niece
1974,young,,,,,,young
1974,beautiful, young,,,,,"beautiful, young"
1974,Handsome,,,,,,Handsome
1974,young, poor,,,,,"young, poor"
1974,teenage, widowed,,,,,"teenage, widowed"
1974,widowed,,,,,,widowed
1974,young,,,,,,young
1974,sick,,,,,,sick
1974,young,,,,,,young
1975,drunk,,,,,,drunk
1975,young,,,,,,young
1975,young,,,,,,young
1975,maiden,,,,,,maiden
1975,dominating,,,,,,dominating
1975,Christian,,,,,,Christian
1975,refined,,,,,,refined
1975,young,,,,,,young
1975,poor,,,,,,poor
1975,young,,,,,,young
1975,reclusive,,,,,,reclusive
1975,talkative, feisty, young,,,,"talkative, feisty, young"
1976,unmarried,,,,,,unmarried
1976,lovely, young,,,,,"lovely, young"
1976,devastated,,,,,,devastated
1976,old,,,,,,old
1976,Harijan, local,,,,,"Harijan, local"
1976,feisty, young,,,,,"feisty, young"
1976,rich,,,,,,rich
1976,unmarried,,,,,,unmarried
1977,wealthy,,,,,,wealthy
1977,poor,,,,,,poor
1977,arrogant,,,,,,arrogant
1977,biological,,,,,,biological
1977,penniless,,,,,,penniless
1977,beautiful, poor,,,,,"beautiful, poor"
1977,grandchild,,,,,,grandchild
1977,lost,,,,,,lost
1977,uptight,,,,,,uptight
1977,unhappy,,,,,,unhappy
1977,young,,,,,,young
1977,scheming,,,,,,scheming
1977,illiterate,,,,,,illiterate
1977,modern, delightful, soft,,,,"modern, delightful, soft"
1977,young,,,,,,young
1977,old,,,,,,old
1977,old,,,,,,old
1977,Muslim,,,,,,Muslim
1977,good,,,,,,good
1977,good,,,,,,good
1978,princess,,,,,,princess
1978,ill,,,,,,ill
1978,young,,,,,,young
1978,shattered,,,,,,shattered
1978,ailing,,,,,,ailing
1978,old,,,,,,old
1978,religious,,,,,,religious
1978,separated,,,,,,separated
1978,aristocratic,,,,,,aristocratic
1978,Muslim,,,,,,Muslim
1978,young,,,,,,young
1978,wealthy,,,,,,wealthy
1978,general,,,,,,general
1979,orphan,,,,,,orphan
1979,lovely,,,,,,lovely
1979,beautiful,,,,,,beautiful
1979,sister,,,,,,sister
1979,wealthy, gorgeous,,,,,"wealthy, gorgeous"
1979,Kind,,,,,,Kind
1979,rich,,,,,,rich
1979,arrogant, prospective,,,,,"arrogant, prospective"
1979,young,,,,,,young
1979,frantic,,,,,,frantic
1979,wealthy,,,,,,wealthy
1979,unmarried,,,,,,unmarried
1979,young,,,,,,young
1979,beautiful, young,,,,,"beautiful, young"
1980,common, adopted,,,,,"common, adopted"
1980,pregnant,,,,,,pregnant
1980,grieving,,,,,,grieving
1980,little,,,,,,little
1980,mortally, wounded,,,,,"mortally, wounded"
1980,pregnant,,,,,,pregnant
1980,young, simple,,,,,"young, simple"
1980,hapless,,,,,,hapless
1980,sick,,,,,,sick
1980,rich,,,,,,rich
1980,playful,,,,,,playful
1980,unpolished,,,,,,unpolished
1980,conservative, deranged,,,,,"conservative, deranged"
1980,young,,,,,,young
1980,new,,,,,,new
1981,niece,,,,,,niece
1981,little,,,,,,little
1981,little,,,,,,little
1981,Sushil,,,,,,Sushil
1981,lovely, pregnant,,,,,"lovely, pregnant"
1981,attractive,,,,,,attractive
1981,cultured,,,,,,cultured
1981,beautiful,,,,,,beautiful
1981,widowed,,,,,,widowed
1981,poor,,,,,,poor
1982,young,,,,,,young
1982,young,,,,,,young
1982,pretty,,,,,,pretty
1982,young,,,,,,young
1982,rich,,,,,,rich
1982,young,,,,,,young
1982,elder,,,,,,elder
1982,beautiful, young,,,,,"beautiful, young"
1982,intelligent,,,,,,intelligent
1982,old,,,,,,old
1982,middle,,,,,,middle
1982,bandit,,,,,,bandit
1982,teenage,,,,,,teenage
1982,orphan,,,,,,orphan
1982,new,,,,,,new
1982,pretty,,,,,,pretty
1982,lively, young,,,,,"lively, young"
1982,young,,,,,,young
1982,sister,,,,,,sister
1982,lovely,,,,,,lovely
1982,conservative,,,,,,conservative
1982,beautiful, young,,,,,"beautiful, young"
1982,beautiful, ugly,,,,,"beautiful, ugly"
1983,beautiful, young,,,,,"beautiful, young"
1983,wealthy,,,,,,wealthy
1983,embarrassing,,,,,,embarrassing
1983,frantic,,,,,,frantic
1983,traditional, Indian, unaware,,,,"traditional, Indian, unaware"
1983,insensitive,,,,,,insensitive
1983,widowed,,,,,,widowed
1983,young, dynamic,,,,,"young, dynamic"
